"species","term_lab","mean_est","median_est","lower_95","upper_95","effect_cat"
"Tellima.grandiflora","Temperature",-0.0492613397485763,-0.0487214484048654,-0.104779057286693,0.0100434703736744,"Negative (>95%)"
"Tellima.grandiflora","Precipitation",0.0581252252408717,0.0547333880996581,0.0319176697452143,0.0991071677905157,"Positive (>95%)"
"Tellima.grandiflora","Latitude",0.0928874718632816,0.0752693256481821,0.0331892438989847,0.17985455770729,"Positive (>95%)"
"Tellima.grandiflora","Temperature × Precipitation",0.0149297518764171,0.0148844535908044,-0.0132917771664712,0.0515219700138498,"Positive (<90%)"
"Tellima.grandiflora","Latitude × Temperature",-0.00845227308874323,-0.00526500051943595,-0.074221862539478,0.0654394264654106,"Negative (<90%)"
"Tellima.grandiflora","Latitude × Precipitation",0.00590813319355359,0.00729631493347005,-0.0387025601899168,0.052469024322894,"Positive (<90%)"
"Wyethia.angustifolia","Temperature",-0.0497045246135951,-0.0436065826705583,-0.129877389375773,0.0225520474961563,"Negative (<90%)"
"Wyethia.angustifolia","Precipitation",0.0671298781742225,0.069325297410027,-0.0051651033910962,0.111286796450781,"Positive (>95%)"
"Wyethia.angustifolia","Latitude",0.240721960022259,0.235265773922242,0.106775146288206,0.416026036126663,"Positive (>95%)"
"Wyethia.angustifolia","Temperature × Precipitation",0.00605259719619938,0.00360065150298752,-0.0604937460366251,0.0620082947712868,"Positive (<90%)"
"Wyethia.angustifolia","Latitude × Temperature",0.0731241015689149,0.0776486902726826,-0.0285125662119973,0.178953761574025,"Positive (<90%)"
"Wyethia.angustifolia","Latitude × Precipitation",0.0550005639255455,0.0495165526477656,-0.00543305470714387,0.127442560253774,"Positive (>95%)"
